,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2019-12-30 15:41:36,ImCeeBrown,#ChristmasDay #Joe2020 #Biden2020  serious still would be the loss in the QUALITY OF  #p2 #BLM #BLM #tcot https://www.ebay.com/itm/Joe-Biden-Vinyl-Decal-Bumper-Sticker/283462863742?var=584522404560 …,"['#christmasday', '#joe2020', '#biden2020', '#p2', '#blm', '#blm', '#tcot']",0,0,0,PDT,,
1,2019-12-30 15:28:15,chuck349841,"No Sir...Dont Forget That Only #BLM
#ItsOnlyALittleMisunderstanding","['#blm', '#itsonlyalittlemisunderstanding']",0,0,0,PDT,,
2,2019-12-30 15:22:29,Dissident_US,"This is the @BarackObama we know and love

Hypocrisy in action!

#p2 #uniteblue #PresidentSanders #mnleg #mpls #rochmn #Bernie2020 #blm #hiphop https://twitter.com/BarackObama/status/1211033245812441091 …","['#p2', '#uniteblue', '#presidentsanders', '#mnleg', '#mpls', '#rochmn', '#bernie2020', '#blm', '#hiphop']",0,0,0,PDT,,
3,2019-12-30 14:06:47,ImCeeBrown,"#ChristmasDay #VoteOjeda  of the truth of this law.  Preponderant already, they are  #BLM #CTL #dnc #DEMS https://www.ebay.com/itm/Richard-Ojeda-Vinyl-Decal-Bumper-Sticker/283351818363?var=584290745938 …","['#christmasday', '#voteojeda', '#blm', '#ctl', '#dnc', '#dems']",0,0,0,PDT,,
4,2019-12-30 13:39:37,jerryquickley,"See a Nazi, Fire a Nazi.

See a Nazi embarking on a law enforcement career?
Fire a Nazi.
#BLM  https://twitter.com/VestsCanada/status/1211712546677383169 …",['#blm'],1,0,0,PDT,,
5,2019-12-30 13:18:02,eze_neb,"And to answer another question, NO, I am not a supporter of @realDonaldTrump ... But the Democrats will have to do a WHOLE lot better than hire insurgents that really have No Plan for Black Empowerment. This #ADOS push will more than likely fall by the wayside just like #BLM.","['#ados', '#blm']",0,0,0,PDT,,
6,2019-12-30 13:17:48,BeckySamson7,More trustworthy than #BLM,['#blm'],0,0,0,PDT,,
7,2019-12-30 13:16:21,trapsiclee,is it weird that i really like old civil rights movies like “selma” and “mississippi burning” and enjoy movies/documentaries on the #BLM movement like “the hate you give” and “rest in power”,['#blm'],0,0,0,PDT,,
8,2019-12-30 13:10:19,PL1C1B,"#BizarreThingsToLeaveIn2019

Too many to mention, but here's a few;
#woke #sjws #virtuesignallers #snowflakes #socialclimbers #BLM #farleft #antifa
#socialism #communism (thought these were gone in the 60s)

And last but not least:
@Anna_Soubry #annasoubry.","['#bizarrethingstoleavein2019', '#woke', '#sjws', '#virtuesignallers', '#snowflakes', '#socialclimbers', '#blm', '#farleft', '#antifa', '#socialism', '#communism', '#annasoubry']",1,0,1,PDT,,
9,2019-12-30 12:41:12,Pimpdaddy311991,@TomPerez Hates Black People #pollthepeople #blm #yang #yang2020 @Oprah @iamcardib @50cent @realDonaldTrump @BernieSanders @NFL #lol,"['#pollthepeople', '#blm', '#yang', '#yang2020', '#lol']",2,0,1,PDT,,
