,date,username,tweet,hashtags,nlikes
0,2020-08-14 16:58:13,KiraCapri919,"Accidentally started a Facebook feud on my account... but like if you don’t support #blm and charging the cops who killed Breonna Taylor, then we probably shouldn’t be FB friends.",['#blm'],21
1,2020-08-14 16:53:19,punishdgrebe,I'm anti-white again #blm  https://twitter.com/notowenn/status/1294419116988735488 …,['#blm'],15
2,2020-08-14 16:52:49,country1st2020,"Thanks for encouraging news Dee!

Next: getting rid of Mitch!

#BidenHarrisToSaveAmerica
#AmyMcGrath2020
#DisbarBarr
#BoycottKanye
#BoycottKardashian
#DumpTrump
#JohnLewisBridge
#BLM
#SaveOurPostalService
#VoteBlue2020","['#bidenharristosaveamerica', '#amymcgrath2020', '#disbarbarr', '#boycottkanye', '#boycottkardashian', '#dumptrump', '#johnlewisbridge', '#blm', '#saveourpostalservice', '#voteblue2020']",24
3,2020-08-14 16:50:00,JanineClimate,"Day 42
To Save World's 2nd Largest Rainforest #SaveCongoRainforest
Ecosystems, Our societies & Lives Are In Mortal Peril!
#ActonSahel #FaceTheClimateEmergency #DefendTheDefenders #Sovereignty #BLM #DigitalStrike
#Fridaysforfuture #ClimateStrike @fff_digital
#ShoeStrike 29/8 pic.twitter.com/N6s5NxbUWw","['#savecongorainforest', '#actonsahel', '#facetheclimateemergency', '#defendthedefenders', '#sovereignty', '#blm', '#digitalstrike', '#fridaysforfuture', '#climatestrike', '#shoestrike']",36
4,2020-08-14 16:46:56,nojustice2020,"Daily REMINDER: This Sunday, help us send SPOG a message! #breakuppoliceunions #spogout #defundspd #seattleprotests #seattle #protest #acab #blm  pic.twitter.com/JMiqWcJLYK","['#breakuppoliceunions', '#spogout', '#defundspd', '#seattleprotests', '#seattle', '#protest', '#acab', '#blm']",15
5,2020-08-14 16:38:47,GAFGRM,"He shot a 5 year old White child, which is why I assume we've heard nothing from the #BLM crowd.",['#blm'],34
6,2020-08-14 16:34:25,amirasxckss,"i can’t believe people out here really think #blm is a joke! BLM is not a fucking joke, it’s not a trend, and most definitely isn’t a cult! just like the n word! The n word isn’t “just a word” there’s is history behind that word! please stop treating #blacklivesmatter like a joke pic.twitter.com/7Ebzna86Tm","['#blm', '#blacklivesmatter']",18
7,2020-08-14 16:29:51,WorkersUnited2,"Progressive Leaders,
Stop leading in Twitter Likes and focus on Leading People!

Help organize this #GeneralStrike  already!

#UBI #RentRelief
#M4A #BLM
#USPS
@AOC
@BernieSanders
#GeneralStrikeSeptember1 https://twitter.com/WorkersUnited2/status/1294106675956383746 …","['#generalstrike', '#ubi', '#rentrelief', '#m4a', '#blm', '#usps', '#generalstrikeseptember1']",12
8,2020-08-14 16:27:37,Jackson2020KAG,"`
MORE  GOOD  NEWS 👍
US unemployment starts moving in the right direction for America. Jobs jobs jobs! 🇺🇸
#Unemployment #ALM
#GoodNews #COVID19
#AllLivesMatter #Jobs
#CannonHinnant #BLM
 https://www.newsbreakapp.com/n/0WeOSii7?s=a2&pd=03dpdOCk … – at Good People Employment","['#unemployment', '#alm', '#goodnews', '#covid19', '#alllivesmatter', '#jobs', '#cannonhinnant', '#blm']",16
9,2020-08-14 16:15:18,SJPFISH,"#BLMAntifaTerroristsThugs Threaten Business Owner After His Windows Were Smashed & He Tried To Report it to Police.

Watch as BLM protesters tell him he better hope they don't find out which business he owns.

 🙋🏼‍♂️ #BLM are Domestic Terrorists President ⁦@realDonaldTrump⁩ pic.twitter.com/zuLSz0qOPk","['#blmantifaterroriststhugs', '#blm']",58
