,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2020-02-29 15:42:05,fosterhood,"Wait a damn minute, Black History Month isn’t over & this Mom would not object to having a daughter who owns a bubbly business 🥰! Added to vision board! 
#BLM 

Marvina Robinson Owns One of the Few Black-Owned Champagne Brands, Stuyvesant Champagne  https://atlantablackstar.com/2020/02/25/marvina-robinson-owns-one-of-the-few-black-owned-champagne-brands-stuyvesant-champagne/ …",['#blm'],5,0,1,PDT,,
1,2020-02-29 15:41:30,DrLindaShelton,Fake deal #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/Malinowski/status/1233780494594117632 …,"['#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
2,2020-02-29 15:40:52,nearlyfreaky,"You keep showing up on my TL, Nike. Answer my question: How much revenue from these ridiculously overpriced kicks are you donating to #HBCU, #NAACP, #BLM & similar non-profits?","['#hbcu', '#naacp', '#blm']",0,1,0,PDT,,
3,2020-02-29 15:30:16,JH_Balko,"Book - Arrested Justice: Black Women, Violence & America’s Prison Nation  http://ht.ly/wV4i306rpiy  HT @NYUpress #BLM #cjreform #incarceration #SocialJustice #SJW #PoC #SJ","['#blm', '#cjreform', '#incarceration', '#socialjustice', '#sjw', '#poc', '#sj']",0,0,0,PDT,,
4,2020-02-29 15:19:19,CaliLiliIndies,"'#MotherEarth 
is no motel +tho we may b #RockStars
we gotta #StopTrashinIt
+
#CleanUpOurRoom!™© 
#SCPrimary
#ROEsong™ 
#NOH8
#healthcare
#BLM
#ClimateAction #RoeVWade🗽 #WomensRights #FridaysForFuture
#SaveOurSeaSaveOurSelves™🌊🐬🌊
 https://www.youtube.com/playlist?list=PLOo3oJVjWZYQJmYI-1YLugwj2NDq4Ubqb …
#Warren 🗽","['#motherearth', '#rockstars', '#stoptrashinit', '#cleanupourroom', '#scprimary', '#roesong', '#noh8', '#healthcare', '#blm', '#climateaction', '#roevwade', '#womensrights', '#fridaysforfuture', '#saveourseasaveourselves', '#warren']",1,1,3,PDT,,
5,2020-02-29 15:16:08,NancyMi87040610,"Thank you @BarbaraRansby, @murchnik, @marclamonthill, Robin DG Kelley + all the other scholars/writers/leaders who signed this statement explaining why you support @BernieSanders. Your support means so much!

#Solidarity #NotMeUs #BLM #M4A #SCPrimary #SuperTuesday #Bernie2020 pic.twitter.com/JYJ6SvPXOS","['#solidarity', '#notmeus', '#blm', '#m4a', '#scprimary', '#supertuesday', '#bernie2020']",8,0,2,PDT,,
6,2020-02-29 14:37:47,OneMillionHouse,"Find us on Twitter
@OneMillionHouse🏠
 http://wp.me/p4IsC2-7w 
#BLM #Alkebulans #BLACKS #Afrikans #Umoja💖 

Twitter:

@OneMillionHouse🏠  https://Twitter.com 
@BlackpoundUK💷  https://Twitter.com 
@Blackpoundman✊🏿  https://Twitter.com  pic.twitter.com/FSft4xe4Rk","['#blm', '#alkebulans', '#blacks', '#afrikans', '#umoja']",2,0,5,PDT,,
7,2020-02-29 14:37:16,ugotGod,⚡️#BreakingNews Y’all ✨👸🏾🤴🏾✨ 🌍 T.O.P ~ #TURNitUP #Official #Music #Video  https://youtu.be/AdPnMoxKOWY  via #ytb #mood #LEAPYEAR #BHM #BLM ❤️🖤💚 🎶💃🏾🕺🏿🎵 🎼🎧🎤 🎉🎊 🍾🥂 #VOTE✅ #BERNIE2020✊🏿,"['#breakingnews', '#turnitup', '#official', '#music', '#video', '#ytb', '#mood', '#leapyear', '#bhm', '#blm', '#vote', '#bernie2020']",0,0,0,PDT,,
8,2020-02-29 14:37:05,nearlyfreaky,"And how much of the revenue from these very attractive but ridiculously overpriced kicks is Nike donating to #HBCU, #NAACP, #BLM, etc. orgs?

Oh, none? That’s what I thought. #HardNo","['#hbcu', '#naacp', '#blm', '#hardno']",2,1,0,PDT,,
9,2020-02-29 14:36:31,OneMillionHouse,"Find us on Twitter
@OneMillionHouse🏠
 http://wp.me/p4IsC2-7w 
#BLM #Alkebulans #BLACKS #Afrikans #Umoja💖 

Twitter:

@OneMillionHouse🏠  https://Twitter.com 
@BlackpoundUK💷  https://Twitter.com 
@Blackpoundman✊🏿  https://Twitter.com ","['#blm', '#alkebulans', '#blacks', '#afrikans', '#umoja']",2,0,4,PDT,,
10,2020-02-29 14:26:19,litboylegendary,my album is officially out on all platforms @YouTube @Deezer @pandoramusic @TIDAL @AppleMusic @GooglePlayMusic @Spotify #AllEyezonLit #LitboyLegendary #BLM,"['#alleyezonlit', '#litboylegendary', '#blm']",0,0,0,PDT,,
11,2020-02-29 14:22:33,ImCeeBrown,#TheBachelor #himalayansalt  past already.    #BLM #ObstructionOfJustice https://www.ebay.com/itm/Himalayan-Pink-Salt-Rock-Chunk-Food-Grade/283499772044?var=584612748227 …,"['#thebachelor', '#himalayansalt', '#blm', '#obstructionofjustice']",0,0,0,PDT,,
12,2020-02-29 13:59:31,lschae4779,#Savewildhorses from #BLM 💔🐎  https://twitter.com/Freedom4Horses/status/1233490223603957760 …,"['#savewildhorses', '#blm']",0,0,0,PDT,,
13,2020-02-29 13:49:43,FakeDougClark,"In other words cops are probably 100 times more likely to be killed by a white man than an unarmed WM is by a cop. Which actually makes the point for #BLM, doesn’t it?  Interesting they didn’t publish that stat. JHC",['#blm'],1,0,0,PDT,,
14,2020-02-29 13:35:55,theebillyporter,"As #blackhistorymonth comes to an end, I can't help but think back to winning the 2019 #Emmy Award  for my role on @PoseOnFX. I became the first openly gay black man to take home that award. Representation matters, our voices matter & our wins matter. #bhm #blm #LGBTQ ⠀ pic.twitter.com/OMobhrW3wa","['#blackhistorymonth', '#emmy', '#bhm', '#blm', '#lgbtq']",2419,46,228,PDT,,
