,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2020-06-08 16:59:16,DrWesBellamy,"8) The time in which we are in is not just a moment, it's a movement. We have the opportunity to begin to look at our communities from a true place of equity. Center the voices who are being the most effected. Listen, learn,and then act. The protests are ending anytime soon. #BLM",['#blm'],27,3,0,PDT,,
1,2020-06-08 16:59:02,Debber66,"#BLM has one agenda and one agenda only - to divide the country and push Marxism! Otherwise they would care about these souls, they would care about the Black abortion rate, they would care about Black cops killed in the line of duty by Black perpetrators. They don’t care!  https://twitter.com/GeraldoRivera/status/1270036866994253826 …",['#blm'],60,3,34,PDT,,
2,2020-06-08 16:58:21,howlett_delma,"My 15yr GrandDaughter whom I raise, who is multi ethnic (in PreCollege High) just asked me, “What is #BLM?” I told her “It’s a new #RacistMovement😢she said “I thought so, because, Doesn’t #AllLivesMatter?”  I said “Yes, Thats why its #Racist. #AllLivesMatter is #AntiRacist
#ALM","['#blm', '#racistmovement', '#alllivesmatter', '#racist', '#alllivesmatter', '#antiracist', '#alm']",11,0,7,PDT,,
3,2020-06-08 16:58:06,vicking02,"As people with power & privilege are committing to addressing racial & social justice, we must also commit to reflecting on why it took so long for us to make these commitments. #RacialJustice #BLM #FixInjusticeNOTKids","['#racialjustice', '#blm', '#fixinjusticenotkids']",22,1,1,PDT,,
4,2020-06-08 16:57:52,RBartlettSport,"The comments on Grimsby Live’s Facebook post regarding #BLM protests are massively depressing and disappointing, but the least bit surprising. A very long way to go.",['#blm'],23,5,1,PDT,,
5,2020-06-08 16:57:23,balinesecat,"Hundreds marching tonight in Rogers Park. Peaceful but very high-spirited, with lots of neighbors chanting and cheering from the sidewalks along the route. #BLM #BlackLivesMatter #RogersPark pic.twitter.com/r3G8ffO9Q4","['#blm', '#blacklivesmatter', '#rogerspark']",23,2,7,PDT,,
6,2020-06-08 16:57:16,habbydabby2,"I was playing your first three albums on vinyl today before I saw this tweet. I was thinking about how happy it would make me to see you involved in #blm , and now here we are.",['#blm'],42,2,0,PDT,,
7,2020-06-08 16:56:35,kusmu,A beautifully produced short on the history of #Vancouver’s past discriminatory urban planning policies that led to the demotion of the @hogans_alley site. (Side note: so proud to serve and work with @uytaelee on @ShapersVan!) #blm #yvr #BlackLivesMatter #BCpoli https://twitter.com/aboutherevideos/status/1270059205823586305 …,"['#vancouver', '#blm', '#yvr', '#blacklivesmatter', '#bcpoli']",29,0,12,PDT,,
8,2020-06-08 16:53:22,ZileElliven,"I, uh, don’t get political on my author platforms as a rule. But this is pretty important. Black lives matter, friends. I can’t...this shouldn’t even have to be said. It’s right up there with knowing how to share your crayons and using the bathroom on your own.
 #blm",['#blm'],26,2,4,PDT,,
9,2020-06-08 16:52:36,MacKenzieKlida,FOR THE PEOPLE IN THE BACK: #BLM IS NOT A POLITICAL VIEW. IT IS A HUMAN RIGHTS ISSUE.,['#blm'],31,0,5,PDT,,
