,date,username,tweet,hashtags,nlikes
0,2020-06-16 16:59:50,TheSofiya,White people doing math right now to see the perfect ratio of #BLM tweets to selfies  pic.twitter.com/kOIqTx1UOx,['#blm'],32
1,2020-06-16 16:55:23,CatholicForLife,The one place you can still get arrested for advocating for #BLM is for doing so in front of an #abortion clinic pic.twitter.com/2298UVIxtH,"['#blm', '#abortion']",73
2,2020-06-16 16:53:15,im_unbaLANCEd,I ain’t make any art in a grip put on some Kendrick and cole and got in my duffle🩸#BLM free wallpaper 😁✊🏿  pic.twitter.com/VmOhZHNXwO,['#blm'],79
3,2020-06-16 16:51:20,TheOnlySprout,"So close, well not really, imagine if every time you tweeted #BLM someone posted pics of criminals. Tried to paint the group by the crimes of the few. That's you, that's the ""gender critical"" hate group, and you did it in this thread #BlackTransLivesMatter https://twitter.com/Deedee_231/status/1272876746480799744 …","['#blm', '#blacktranslivesmatter']",94
4,2020-06-16 16:48:57,linseygodfrey,"If you haven’t watch @13THFilm by @ava, stop what you are doing right now, go to @netflix and watch it. ESPECIALLY if you consider yourself an ally to the black community and all communities of color. 
#blacklivesmatter #BLM #13thnetflix https://twitter.com/ava/status/1273035211572416512 …","['#blacklivesmatter', '#blm', '#13thnetflix']",36
5,2020-06-16 16:48:36,soylaura,"Blah blah blah, blah blah. I’m gonna go out on a limb & say he showed us exactly who he is, the way he speaks at home & when he’s with his friends. I’m also gonna say, any family court file he has touched needs to be reviewed &/or investigated. #blm",['#blm'],32
6,2020-06-16 16:47:27,BennettCartoons,6/17/2020- The Thin Blue Line #GeorgeFloyd #BreonnaTaylor #RayshardBrooks #PoliceBrutality #PoliceReform #PoliceReformNow #EqualJustice #BlackLivesMatter #BLM  https://tinyurl.com/y7guludb  pic.twitter.com/7ffAF5hDXr,"['#georgefloyd', '#breonnataylor', '#rayshardbrooks', '#policebrutality', '#policereform', '#policereformnow', '#equaljustice', '#blacklivesmatter', '#blm']",103
7,2020-06-16 16:42:15,MaryamNamazie,"If you have ever thought that I might have made even one useful point sometime, somewhere, then can I ask you to please watch this film? I think every single person should see this as a matter of urgency - especially now.
I promise. You won’t regret it. #BLM #GeorgeFloyd pic.twitter.com/PGvfrwFXjH","['#blm', '#georgefloyd']",32
8,2020-06-16 16:38:21,cheesyjada,Package came in @fortheleaux @GOAT_vicc #BLM  pic.twitter.com/e6dNoderaY,['#blm'],50
9,2020-06-16 16:36:44,skittttzzz,"FSU is diverse. We have all different types of people on campus who identify with so many different groups. So to having businesses that are anti-lgbtq+ , actively support a racist president, & against #BLM just doesn’t makes sense to me...",['#blm'],23
10,2020-06-16 16:34:27,Traywalker19,What’s the difference between you and us✊🏾🗣 #blm @_Keandree1 @JONATHAN7___ @twelch21 @kaithomas23 @_selfmadeque @Trey9Smith pic.twitter.com/o6Cn8ID7sr,['#blm'],14
11,2020-06-16 16:34:22,MajesticKingV,"That’s what you called learned behavior but black ppl won’t admit it or speak on it they brush it under the rug, shun you, make you the black sheep or problem child & always call you a liar! Yet we not ready to speak on that or speak up .. yet #blm",['#blm'],53
12,2020-06-16 16:29:58,gradydoctor,"This was so, so powerful. Thank you @drjessigold for curating this and all of the contributors for your transparency. Special shout out to my little bro and former @EmoryMedicine student advisee (now full grown otolaryngologist) @CQ__MD who is in this volume! 

#proud #BLM  https://twitter.com/drjessigold/status/1272904644931567619 …","['#proud', '#blm']",11
13,2020-06-16 16:29:35,SenatorWanda,It is so important to teach Canadians about African Canadian Civil Rights Leaders. Follow this @HistoricaCanada thread to get started on your journey #BLM  https://twitter.com/HistoricaCanada/status/1267852099691450373 …,['#blm'],39
14,2020-06-16 16:27:36,RedPillReport,"#BLM and #ANTIFA have done irreparable damage to the economies of many black communities around the country. 

Great movement, nit-wits.","['#blm', '#antifa']",45
15,2020-06-16 16:27:00,ajplus,"After the killing of #RayshardBrooks, Atlanta's #BLM activists and NAACP members marched to the state Capitol to demand racial and social justice. 

The groups are pushing lawmakers to pass a hate crimes bill that's been stalled since last year.  pic.twitter.com/nD5T2gkOpy","['#rayshardbrooks', '#blm']",114
16,2020-06-16 16:25:51,tvblogger_,@BunimMurray @mtv @ChallengeMTV y’all disgust me with your fake support the #blm  https://twitter.com/wedontknow36/status/1273028635482624001 …,['#blm'],19
17,2020-06-16 16:24:39,ChaStewart22,"No @MayorGinther this isn’t good enough. We want transparency about chemical spray agent harm to understand the impacts on our bodies, we want a FULL BAN not a ban dependent upon you or CPDs perception of violence...that’s the fucking problem, how do you not get that? #BLM  https://twitter.com/MayorGinther/status/1272962740726820864 …",['#blm'],33
18,2020-06-16 16:22:10,isaiahdidit,"Live from Victorville CA 4:11pm 🖤
#JusticeForMarcusHarsch #SayHisName #BLM  pic.twitter.com/IiDeaMAgYn","['#justiceformarcusharsch', '#sayhisname', '#blm']",13
19,2020-06-16 16:19:34,StephLBirch,"Glad to share this work with the world. Black Thursday was a watershed moment in the history of @uflorida and part of the broader Black Campus movement. Black students, faculty, and staff matter. They did then. They do now. And they will certainly continue to matter. #BLM  https://twitter.com/uflibexhibits/status/1272880119313346561 …",['#blm'],11
20,2020-06-16 16:19:11,jusme99,"Meet Jaden Faunteroy, the 17 year old former MCPS student who organized the “Tigers Caravan Protest for Black Lives” in Potomac, Maryland. Over 60 cars followed from Bethesda ES to Holy Child HS! #BlackLivesMatterDC #blm @TheMoCoShow @HolyChildMD pic.twitter.com/dLQDg6bTrE","['#blacklivesmatterdc', '#blm']",123
21,2020-06-16 16:17:44,elevenmuses,"Yeah, not too happy about #BLM being on this chart (or its placement).",['#blm'],9
22,2020-06-16 16:16:56,SRMandeles,"Hey @UCBerkeley, your lecturer (@HatemBazian) & his org (@AMPalestine) are apparently hosting Amir Abdel Malik Ali in a #BLM webinar. Even the @SPLCenter calls him a ""domestic jihadist"" & he's repeatedly professed his support for Hamas & Hezbollah. Is this of any concern to you?  https://twitter.com/SRMandeles/status/1273018402433642497 … pic.twitter.com/Cv4GIA7gE4",['#blm'],38
23,2020-06-16 16:15:14,LiquidChillin,"Live now w/ the #BLM Charity stream w/ Vish! first event is an iron man, already hit the goal :O

Reminder that for $25+ donations you can choose either Vish rapping one of my tracks or me acting out one of Vish's commercials lmao

 http://twitch.tv/chillindude 
 http://twitch.tv/ViciousVish  pic.twitter.com/OhZuVzSnin",['#blm'],52
24,2020-06-16 16:12:52,GA10Indivisible,"Athens Georgia makes New York Times headline for tear gassing protesters 
#BlackLivesMatter #gapol #gagov #gasen #athensga #UGA #BLM  https://www.nytimes.com/interactive/2020/06/16/us/george-floyd-protests-police-tear-gas.html … pic.twitter.com/wsecn4iHbE","['#blacklivesmatter', '#gapol', '#gagov', '#gasen', '#athensga', '#uga', '#blm']",20
